tweet,labels
 rt mayasolov woman shouldnt complain clean hous amp man alway take trash,No Hate and Offensive
 rt  boy dat coldtyga dwn bad cuffin dat hoe  place,Offensive Language
 rt urkindofbrand dawg rt  ever fuck bitch start cri confus shit,Offensive Language
 rt cganderson vivaba look like tranni,Offensive Language
 rt shenikarobert shit hear might true might faker bitch told ya ,Offensive Language
tmadisonx shit blow meclaim faith somebodi still fuck hoe ,Offensive Language
brighterday sit hate anoth bitch  got much shit go,Offensive Language
 caus im tire big bitch come us skinni ,Offensive Language
 amp might get ya bitch back amp ,Offensive Language
 rhythmixx hobbi includ fight mariambitch,Offensive Language
 keek bitch curv everyon  lol walk conver like smh,Offensive Language
 murda gang bitch gang land ,Offensive Language
 hoe smoke loser   yea  go ig,Offensive Language
 bad bitch thing like ,Offensive Language
 bitch get ,Offensive Language
 bitch nigga miss ,Offensive Language
 bitch plz whatev ,Offensive Language
 bitch love ,Offensive Language
 bitch get cut everyday b ,Offensive Language
 black bottl amp bad bitch ,Offensive Language
 broke bitch cant tell noth ,Offensive Language
 cancel bitch like nino ,Offensive Language
 cant see hoe wont chang ,Offensive Language
 fuck bitch dont even suck dick   kermit video bout fuck ig,Offensive Language
 got ya bitch tip toe hardwood floor   ,Offensive Language
 pussi lip like heaven door  ,Offensive Language
 hoe hit ,Offensive Language
 met pussi ocean dr  gave pussi pill  ,Offensive Language
 need trippi bitch fuck hennessi ,Offensive Language
 spend money want bitch busi ,Offensive Language
 txt old bitch new bitch pussi wetter ,Offensive Language
 id say im back old old bitch would get excit  ,Offensive Language
 aint bout murder game pussi nigga shut ,Offensive Language
 toe aint done pussi stink ,Offensive Language
 im done bitter bitch wrap  angri bird app ,Offensive Language
 ya bitch ,Offensive Language
 aint noth cut bitch ,Offensive Language
 jus meet son ya mane ass bitch  shot,Offensive Language
 lame cri hoe tear clown ,Offensive Language
 like snoop said  dont love hoe ,Offensive Language
 momma said pussi cat insid doghous ,No Hate and Offensive
 hate hoe favorit   sevenon  ,Offensive Language
 nice girl bad make get naughti bad yello hoe real nice bodi south chick like em real thick ,Offensive Language
 pimp pimp hoe  futur voic,Offensive Language
 post pictur pussi get  like ,Offensive Language
 pussi power drug   happyhumpday ,Offensive Language
 quick piec pussi call drive ,Offensive Language
 run round like brand new pussi bout get fuck ,Offensive Language
